sierra     WS.C.18.05 -------   35.58    0.15    0.18    18  6000     0     0
sierra     WS.C.18.06 -------   39.72    0.13    1.16    18  6000     0     0
sierra     WS.C.18.07 -------   43.79    0.18    1.13    18  6000     0     0
sierra     WS.C.18.08 -------   46.13    0.22    0.53    18  6000     0     0
sierra     WS.C.18.09 -------   36.65    0.18    1.20    18  6000     0     0
sierra     WS.C.18.10 -------   36.68    0.13    0.40    18  6000     0     0
sierra     WS.C.18.11 -------   45.64    0.28    1.84    18  6000     0     0
sierra     WS.C.18.12 -------   38.80    0.34    1.05    18  6000     0     0
sierra     WS.C.18.13 -------   35.21    0.21    0.62    18  6000     0     0
sierra     WS.C.18.14 -------   38.90    0.10    1.00    18  6000     0     0
sierra     WS.C.18.15 -------   36.58    0.06    0.98    18  6000     0     0
sierra     WS.C.18.16 -------   43.07    0.39    1.67    18  6000     0     0
sierra     WS.C.18.17 -------   39.82    0.45    0.54    18  6000     0     0
sierra     WS.C.18.18 -------   39.28    0.41    0.76    18  6000     0     0
sierra     WS.C.18      46.38 ------- ------- -------    18  6000     0     0
sierra     WS.C.19.01 -------   36.09    0.00    0.03    19  6000     0     0
sierra     WS.C.19.02 -------   40.61    0.01    0.10    19  6000     0     0
sierra     WS.C.19.03 -------   35.71    0.01    0.06    19  6000     0     0
sierra     WS.C.19.04 -------   46.26    0.01    0.05    19  6000     0     0
sierra     WS.C.19.05 -------   42.79    0.05    0.05    19  6000     0     0
sierra     WS.C.19.06 -------   44.58    0.01    0.05    19  6000     0     0
sierra     WS.C.19.07 -------   40.74    0.01    1.16    19  6000     0     0
sierra     WS.C.19.08 -------   40.98    0.05    0.63    19  6000     0     0
sierra     WS.C.19.09 -------   40.48    0.30    1.05    19  6000     0     0
sierra     WS.C.19.10 -------   47.91    0.90    1.22    19  6000     0     0
sierra     WS.C.19.11 -------   46.76    0.18    1.09    19  6000     0     0
sierra     WS.C.19.12 -------   45.74    0.15    0.99    19  6000     0     0
sierra     WS.C.19.13 -------   44.81    0.03    0.90    19  6000     0     0
sierra     WS.C.19.14 -------   46.87    0.11    0.95    19  6000     0     0
sierra     WS.C.19.15 -------   36.60    0.29    0.93    19  6000     0     0
sierra     WS.C.19.16 -------   40.25    0.16    0.94    19  6000     0     0
sierra     WS.C.19.17 -------   42.87    0.34    0.81    19  6000     0     0
sierra     WS.C.19.18 -------   36.71    0.31    0.72    19  6000     0     0
sierra     WS.C.19.19 -------   36.80    0.00    0.67    19  6000     0     0
sierra     WS.C.19      48.20 ------- ------- -------    19  6000     0     0
sierra     WS.C.20.01 -------   47.19    0.00    0.04    20  6000     0     0
sierra     WS.C.20.02 -------   48.03    0.00    0.03    20  6000     0     0
sierra     WS.C.20.03 -------   36.40    0.01    0.04    20  6000     0     0
sierra     WS.C.20.04 -------   46.69    0.01    0.05    20  6000     0     0
sierra     WS.C.20.05 -------   47.83    0.01    1.09    20  6000     0     0
sierra     WS.C.20.06 -------   44.65    0.14    0.06    20  6000     0     0
sierra     WS.C.20.07 -------   50.22    0.11    0.05    20  6000     0     0
sierra     WS.C.20.08 -------   48.02    0.82    0.07    20  6000     0     0
sierra     WS.C.20.09 -------   36.99    0.29    0.97    20  6000     0     0
sierra     WS.C.20.10 -------   48.03    0.14    1.21    20  6000     0     0
sierra     WS.C.20.11 -------   40.52    0.61    1.21    20  6000     0     0
sierra     WS.C.20.12 -------   47.20    0.18    1.76    20  6000     0     0
sierra     WS.C.20.13 -------   47.24    0.10    0.45    20  6000     0     0
sierra     WS.C.20.14 -------   36.70    0.08    0.04    20  6000     0     0
sierra     WS.C.20.15 -------   37.02    0.41    1.32    20  6000     0     0
sierra     WS.C.20.16 -------   41.08    0.00    1.09    20  6000     0     0
sierra     WS.C.20.17 -------   46.98    0.17    1.07    20  6000     0     0
sierra     WS.C.20.18 -------   40.75    0.31    1.05    20  6000     0     0
sierra     WS.C.20.19 -------   49.79    0.45    0.92    20  6000     0     0
sierra     WS.C.20.20 -------   40.76    0.20    0.89    20  6000     0     0
sierra     WS.C.20      50.46 ------- ------- -------    20  6000     0     0
sierra     WS.C.21.01 -------   41.31    0.00    0.03    21  6000     0     0
sierra     WS.C.21.02 -------   39.72    0.01    0.03    21  6000     0     0
sierra     WS.C.21.03 -------   51.81    0.01    0.04    21  6000     0     0
sierra     WS.C.21.04 -------   51.02    0.01    0.42    21  6000     0     0
sierra     WS.C.21.05 -------   52.17    0.01    0.03    21  6000     0     0
sierra     WS.C.21.06 -------   48.35    0.01    2.08    21  6000     0     0
sierra     WS.C.21.07 -------   48.38    0.02    0.36    21  6000     0     0
sierra     WS.C.21.08 -------   46.07    1.08    0.42    21  6000     0     0
sierra     WS.C.21.09 -------   41.43    1.23    2.01    21  6000     0     0
sierra     WS.C.21.10 -------   50.82    0.71    0.61    21  6000     0     0
sierra     WS.C.21.11 -------   49.10    0.09    2.44    21  6000     0     0
sierra     WS.C.21.12 -------   51.75    1.96    0.28    21  6000     0     0
sierra     WS.C.21.13 -------   49.54    1.94    1.96    21  6000     0     0
sierra     WS.C.21.14 -------   47.27    0.76    0.33    21  6000     0     0
sierra     WS.C.21.15 -------   50.39    0.54    0.29    21  6000     0     0
sierra     WS.C.21.16 -------   49.17    0.00    1.91    21  6000     0     0
sierra     WS.C.21.17 -------   49.30    1.08    3.70    21  6000     0     0
sierra     WS.C.21.18 -------   37.61    1.00    1.85    21  6000     0     0
sierra     WS.C.21.19 -------   51.12    1.04    2.33    21  6000     0     0
sierra     WS.C.21.20 -------   37.50    1.79    1.93    21  6000     0     0
sierra     WS.C.21.21 -------   41.65    1.76    0.70    21  6000     0     0
sierra     WS.C.21      52.40 ------- ------- -------    21  6000     0     0
sierra     WS.C.22.01 -------   53.50    0.00    0.03    22  6000     0     0
sierra     WS.C.22.02 -------   54.40    0.01    0.04    22  6000     0     0
sierra     WS.C.22.03 -------   52.93    0.01    0.04    22  6000     0     0
sierra     WS.C.22.04 -------   52.50    0.01    0.24    22  6000     0     0
sierra     WS.C.22.05 -------   52.64    0.01    1.96    22  6000     0     0
sierra     WS.C.22.06 -------   52.50    0.12    1.93    22  6000     0     0
sierra     WS.C.22.07 -------   55.09    0.79    0.31    22  6000     0     0
sierra     WS.C.22.08 -------   49.31    0.07    0.42    22  6000     0     0
sierra     WS.C.22.09 -------   49.39    0.17    0.40    22  6000     0     0
sierra     WS.C.22.10 -------   41.31    0.24    1.88    22  6000     0     0
sierra     WS.C.22.11 -------   53.02    0.37    1.83    22  6000     0     0
sierra     WS.C.22.12 -------   49.48    0.18    1.55    22  6000     0     0
sierra     WS.C.22.13 -------   50.40    0.18    1.68    22  6000     0     0
sierra     WS.C.22.14 -------   52.95    0.30    0.24    22  6000     0     0
sierra     WS.C.22.15 -------   50.41    0.28    1.45    22  6000     0     0
sierra     WS.C.22.16 -------   51.83    0.17    0.57    22  6000     0     0
sierra     WS.C.22.17 -------   41.53    0.00    1.29    22  6000     0     0
sierra     WS.C.22.18 -------   52.36    0.19    1.27    22  6000     0     0
sierra     WS.C.22.19 -------   51.33    0.09    1.11    22  6000     0     0
sierra     WS.C.22.20 -------   50.18    0.61    0.89    22  6000     0     0
sierra     WS.C.22.21 -------   41.11    0.24    0.91    22  6000     0     0
sierra     WS.C.22.22 -------   36.86    0.21    0.70    22  6000     0     0
sierra     WS.C.22      55.34 ------- ------- -------    22  6000     0     0
sierra     WS.C.23.01 -------   52.72    0.01    0.03    23  6000     0     0
sierra     WS.C.23.02 -------   49.63    0.01    0.03    23  6000     0     0
sierra     WS.C.23.03 -------   52.97    0.00    0.08    23  6000     0     0
sierra     WS.C.23.04 -------   55.66    0.00    0.06    23  6000     0     0
sierra     WS.C.23.05 -------   52.79    0.01    0.06    23  6000     0     0
sierra     WS.C.23.06 -------   54.11    0.09    0.05    23  6000     0     0
sierra     WS.C.23.07 -------   54.41    0.01    0.07    23  6000     0     0
sierra     WS.C.23.08 -------   55.85    0.02    0.86    23  6000     0     0
sierra     WS.C.23.09 -------   40.90    0.01    1.80    23  6000     0     0
sierra     WS.C.23.10 -------   53.71    0.10    1.67    23  6000     0     0
sierra     WS.C.23.11 -------   54.28    0.11    0.58    23  6000     0     0
sierra     WS.C.23.12 -------   53.91    0.10    1.25    23  6000     0     0
sierra     WS.C.23.13 -------   53.33    0.23    0.96    23  6000     0     0
sierra     WS.C.23.14 -------   54.13    0.06    1.54    23  6000     0     0
sierra     WS.C.23.15 -------   56.18    0.00    1.49    23  6000     0     0
sierra     WS.C.23.16 -------   41.21    0.11    1.47    23  6000     0     0
sierra     WS.C.23.17 -------   54.09    0.14    0.42    23  6000     0     0
sierra     WS.C.23.18 -------   56.14    0.32    0.52    23  6000     0     0
sierra     WS.C.23.19 -------   53.69    0.16    1.21    23  6000     0     0
sierra     WS.C.23.20 -------   55.80    0.22    1.09    23  6000     0     0
sierra     WS.C.23.21 -------   53.59    0.48    0.66    23  6000     0     0
sierra     WS.C.23.22 -------   50.02    0.24    0.94    23  6000     0     0
sierra     WS.C.23.23 -------   53.93    0.42    0.79    23  6000     0     0
sierra     WS.C.23      56.69 ------- ------- -------    23  6000     0     0
sierra     WS.C.24.01 -------   53.41    0.01    0.03    24  6000     0     0
sierra     WS.C.24.02 -------   58.10    0.01    0.67    24  6000     0     0
sierra     WS.C.24.03 -------   56.83    0.00    0.69    24  6000     0     0
sierra     WS.C.24.04 -------   56.60    0.01    1.22    24  6000     0     0
sierra     WS.C.24.05 -------   54.51    0.01    1.33    24  6000     0     0
sierra     WS.C.24.06 -------   54.03    0.01    1.31    24  6000     0     0
sierra     WS.C.24.07 -------   53.31    0.77    0.98    24  6000     0     0
sierra     WS.C.24.08 -------   58.23    0.00    1.30    24  6000     0     0
sierra     WS.C.24.09 -------   53.53    1.00    1.32    24  6000     0     0
sierra     WS.C.24.10 -------   54.95    0.15    1.19    24  6000     0     0
sierra     WS.C.24.11 -------   57.93    0.24    1.29    24  6000     0     0
sierra     WS.C.24.12 -------   52.81    0.16    1.21    24  6000     0     0
sierra     WS.C.24.13 -------   57.40    0.47    0.85    24  6000     0     0
sierra     WS.C.24.14 -------   57.56    0.13    0.99    24  6000     0     0
sierra     WS.C.24.15 -------   58.06    0.23    1.43    24  6000     0     0
sierra     WS.C.24.16 -------   54.98    0.22    1.41    24  6000     0     0
sierra     WS.C.24.17 -------   57.43    0.57    0.84    24  6000     0     0
sierra     WS.C.24.18 -------   57.82    0.01    0.89    24  6000     0     0
sierra     WS.C.24.19 -------   54.36    0.25    0.71    24  6000     0     0
sierra     WS.C.24.20 -------   56.96    0.42    1.82    24  6000     0     0
sierra     WS.C.24.21 -------   55.08    0.39    1.00    24  6000     0     0
sierra     WS.C.24.22 -------   54.37    0.29    0.87    24  6000     0     0
sierra     WS.C.24.23 -------   54.45    0.65    1.55    24  6000     0     0
sierra     WS.C.24.24 -------   56.64    0.36    1.53    24  6000     0     0
sierra     WS.C.24      58.60 ------- ------- -------    24  6000     0     0
sierra     WS.C.25.01 -------   53.92    0.00    0.02    25  6000     0     0
sierra     WS.C.25.02 -------   58.47    0.01    0.03    25  6000     0     0
sierra     WS.C.25.03 -------   59.34    0.01    0.21    25  6000     0     0
sierra     WS.C.25.04 -------   54.22    0.01    0.38    25  6000     0     0
sierra     WS.C.25.05 -------   53.85    0.01    0.41    25  6000     0     0
sierra     WS.C.25.06 -------   54.59    0.01    1.18    25  6000     0     0
sierra     WS.C.25.07 -------   58.39    0.09    0.29    25  6000     0     0
sierra     WS.C.25.08 -------   54.30    0.00    0.30    25  6000     0     0
sierra     WS.C.25.09 -------   58.27    0.13    0.29    25  6000     0     0
sierra     WS.C.25.10 -------   54.14    0.03    0.78    25  6000     0     0
sierra     WS.C.25.11 -------   54.52    0.11    0.30    25  6000     0     0
sierra     WS.C.25.12 -------   58.84    0.14    1.65    25  6000     0     0
sierra     WS.C.25.13 -------   60.75    0.10    0.32    25  6000     0     0
sierra     WS.C.25.14 -------   54.56    0.01    1.05    25  6000     0     0
sierra     WS.C.25.15 -------   61.06    0.12    0.51    25  6000     0     0
sierra     WS.C.25.16 -------   57.13    0.20    1.00    25  6000     0     0
sierra     WS.C.25.17 -------   58.14    0.18    1.46    25  6000     0     0
sierra     WS.C.25.18 -------   55.19    0.23    1.38    25  6000     0     0
sierra     WS.C.25.19 -------   57.33    0.37    0.93    25  6000     0     0
sierra     WS.C.25.20 -------   63.21    0.18    0.68    25  6000     0     0
sierra     WS.C.25.21 -------   57.68    0.43    1.26    25  6000     0     0
sierra     WS.C.25.22 -------   54.91    0.15    1.08    25  6000     0     0
sierra     WS.C.25.23 -------   54.60    0.53    0.95    25  6000     0     0
sierra     WS.C.25.24 -------   57.47    0.35    0.97    25  6000     0     0
sierra     WS.C.25.25 -------   54.59    0.27    0.83    25  6000     0     0
sierra     WS.C.25      63.96 ------- ------- -------    25  6000     0     0
sierra     WS.C.26.01 -------   59.20    0.01    0.03    26  6000     0     0
sierra     WS.C.26.02 -------   63.79    0.01    0.04    26  6000     0     0
sierra     WS.C.26.03 -------   61.87    0.01    1.07    26  6000     0     0
sierra     WS.C.26.04 -------   58.97    0.01    0.06    26  6000     0     0
sierra     WS.C.26.05 -------   54.49    0.01    1.04    26  6000     0     0
sierra     WS.C.26.06 -------   54.57    0.12    1.30    26  6000     0     0
sierra     WS.C.26.07 -------   54.10    0.13    0.98    26  6000     0     0
sierra     WS.C.26.08 -------   58.84    0.05    1.27    26  6000     0     0
sierra     WS.C.26.09 -------   61.97    0.02    1.23    26  6000     0     0
sierra     WS.C.26.10 -------   63.23    1.12    3.45    26  6000     0     0
sierra     WS.C.26.11 -------   63.90    0.29    1.21    26  6000     0     0
sierra     WS.C.26.12 -------   59.17    1.02    1.17    26  6000     0     0
sierra     WS.C.26.13 -------   54.85    0.35    0.90    26  6000     0     0
sierra     WS.C.26.14 -------   61.64    0.10    1.15    26  6000     0     0
sierra     WS.C.26.15 -------   61.60    0.05    1.11    26  6000     0     0
sierra     WS.C.26.16 -------   60.78    0.39    2.13    26  6000     0     0
sierra     WS.C.26.17 -------   59.01    0.14    0.87    26  6000     0     0
sierra     WS.C.26.18 -------   54.46    0.01    0.87    26  6000     0     0
sierra     WS.C.26.19 -------   58.88    0.24    1.04    26  6000     0     0
sierra     WS.C.26.20 -------   55.11    0.24    1.01    26  6000     0     0
sierra     WS.C.26.21 -------   55.23    0.00    0.63    26  6000     0     0
sierra     WS.C.26.22 -------   58.95    0.15    0.75    26  6000     0     0
