# ------------------------------------------------------------------------------
# host         exp-id     ttc     ttc     ttc     ttc     # comp.   mem  disk
#                       total    comp     mem    disk  apps  load  load  load
#                         sec     sec     sec     sec       MFLOP MByte MByte
# ------------------------------------------------------------------------------
boskop     WS.C.11.04 -------   25.31    0.03    0.63    11  6000     0     0
boskop     WS.C.11.05 -------   25.67    0.01    0.64    11  6000     0     0
boskop     WS.C.11.06 -------   21.10    0.02    0.63    11  6000     0     0
boskop     WS.C.11.07 -------   25.67    0.02    0.60    11  6000     0     0
boskop     WS.C.11.08 -------   25.72    0.02    0.57    11  6000     0     0
boskop     WS.C.11.09 -------   25.67    0.01    0.45    11  6000     0     0
boskop     WS.C.11.10 -------   25.00    0.03    0.50    11  6000     0     0
boskop     WS.C.11.11 -------   25.33    0.04    0.51    11  6000     0     0
boskop     WS.C.11      26.54 ------- ------- -------    11  6000     0     0
boskop     WS.C.12.01 -------   28.12    0.00    0.35    12  6000     0     0
boskop     WS.C.12.02 -------   28.02    0.02    0.35    12  6000     0     0
boskop     WS.C.12.03 -------   28.39    0.02    0.32    12  6000     0     0
boskop     WS.C.12.04 -------   28.04    0.01    0.46    12  6000     0     0
boskop     WS.C.12.05 -------   27.88    0.02    0.47    12  6000     0     0
boskop     WS.C.12.06 -------   28.19    0.03    0.46    12  6000     0     0
boskop     WS.C.12.07 -------   27.88    0.05    0.46    12  6000     0     0
boskop     WS.C.12.08 -------   27.94    0.06    0.44    12  6000     0     0
boskop     WS.C.12.09 -------   28.00    0.04    0.43    12  6000     0     0
boskop     WS.C.12.10 -------   27.88    0.03    0.43    12  6000     0     0
boskop     WS.C.12.11 -------   27.80    0.08    0.34    12  6000     0     0
boskop     WS.C.12.12 -------   27.94    0.04    0.34    12  6000     0     0
boskop     WS.C.12      28.60 ------- ------- -------    12  6000     0     0
boskop     WS.C.13.01 -------   29.59    0.00    0.58    13  6000     0     0
boskop     WS.C.13.02 -------   29.81    0.00    0.42    13  6000     0     0
boskop     WS.C.13.03 -------   31.35    0.00    0.38    13  6000     0     0
boskop     WS.C.13.04 -------   31.05    0.03    0.56    13  6000     0     0
boskop     WS.C.13.05 -------   28.61    0.02    0.40    13  6000     0     0
boskop     WS.C.13.06 -------   28.10    0.03    0.39    13  6000     0     0
boskop     WS.C.13.07 -------   31.55    0.06    0.53    13  6000     0     0
boskop     WS.C.13.08 -------   28.61    0.06    0.52    13  6000     0     0
boskop     WS.C.13.09 -------   29.00    0.07    0.58    13  6000     0     0
boskop     WS.C.13.10 -------   28.26    0.08    0.46    13  6000     0     0
boskop     WS.C.13.11 -------   29.35    0.03    0.43    13  6000     0     0
boskop     WS.C.13.12 -------   28.16    0.02    0.43    13  6000     0     0
boskop     WS.C.13.13 -------   29.21    0.04    0.41    13  6000     0     0
boskop     WS.C.13      31.86 ------- ------- -------    13  6000     0     0
boskop     WS.C.14.01 -------   31.87    0.00    0.61    14  6000     0     0
boskop     WS.C.14.02 -------   29.96    0.00    0.60    14  6000     0     0
boskop     WS.C.14.03 -------   30.61    0.01    0.59    14  6000     0     0
boskop     WS.C.14.04 -------   29.99    0.03    0.59    14  6000     0     0
boskop     WS.C.14.05 -------   32.69    0.01    0.58    14  6000     0     0
boskop     WS.C.14.06 -------   30.03    0.02    0.56    14  6000     0     0
boskop     WS.C.14.07 -------   29.57    0.03    0.56    14  6000     0     0
boskop     WS.C.14.08 -------   31.94    0.01    0.37    14  6000     0     0
boskop     WS.C.14.09 -------   31.14    0.03    0.54    14  6000     0     0
boskop     WS.C.14.10 -------   31.04    0.02    0.53    14  6000     0     0
boskop     WS.C.14.11 -------   33.39    0.02    0.52    14  6000     0     0
boskop     WS.C.14.12 -------   33.64    0.05    0.52    14  6000     0     0
