# host                  id     x     y     z    t_real     t_cpu     t_mem      t_io       cpu util  eff  load       mem        io
boskop            EMU.0040    40    40   250      4.70      0.05      1.36      0.18    460.87 0.07 0.55  0.57    239.34      1.00
boskop            EMU.0040    40    40   250      4.74      0.05      1.40      0.15    463.67 0.07 0.54  0.52    239.34      1.00
boskop            EMU.0040    40    40   250      4.71      0.05      1.38      0.15    465.20 0.07 0.54  0.48    239.34      1.00
boskop            EMU.0040    40    40   250      4.74      0.05      1.40      0.17    465.59 0.07 0.54  0.44    239.34      1.00
boskop       MEAN_EMU.0040    40    40   250      4.73      0.05      1.39      0.16    463.93 0.07 0.54  0.47    239.34      1.00
boskop        STD_EMU.0040    40    40   250      0.01      0.00      0.01      0.02      1.58 0.00 0.00  0.09      0.00      0.00
boskop       STAT_EMU.0040    40    40   250      4.73      0.01      0.05      0.00      1.39      0.01      0.16      0.02    463.93      1.58 0.07 0.00 0.54 0.00  0.47  0.09    239.34      0.00      1.00      0.00

boskop            PRO.0080    80    80   250      3.47 --------- --------- ---------     90.99 0.02 0.79  0.41    240.90      1.41
boskop            PRO.0080    80    80   250      3.46 --------- --------- ---------     87.51 0.02 0.81  0.37    240.89      1.41
boskop            PRO.0080    80    80   250      3.47 --------- --------- ---------     92.72 0.02 0.79  0.37    240.74      1.41
boskop            PRO.0080    80    80   250      3.47 --------- --------- ---------     94.03 0.02 0.81  0.35    240.74      1.41
boskop            PRO.0080    80    80   250      3.47 --------- --------- ---------     93.16 0.02 0.81  0.32    240.74      1.41
boskop            PRO.0080    80    80   250      3.47 --------- --------- ---------     93.30 0.02 0.81  0.37    240.74      1.41
boskop            PRO.0080    80    80   250      3.47 --------- --------- ---------     93.62 0.02 0.81  0.37    240.74      1.41
boskop            PRO.0080    80    80   250      3.46 --------- --------- ---------     93.82 0.02 0.81  0.42    240.74      1.41
boskop            PRO.0080    80    80   250      3.46 --------- --------- ---------     94.56 0.02 0.81  0.39    240.74      1.41
boskop            PRO.0080    80    80   250      3.46 --------- --------- ---------     86.85 0.02 0.81  0.39    240.74      1.41
boskop       MEAN_PRO.0080    80    80   250      3.47 --------- --------- ---------     92.06 0.02 0.81  0.38    240.77      1.41
boskop        STD_PRO.0080    80    80   250      0.00 --------- --------- ---------      2.61 0.00 0.01  0.03      0.06      0.00
boskop       STAT_PRO.0080    80    80   250      3.47      0.00 --------- --------- --------- --------- --------- ---------     92.06      2.61 0.02 0.00 0.81 0.01  0.38  0.03    240.77      0.06      1.41      0.00
boskop            EMU.0080    80    80   250      4.74      0.15      1.40      0.19    532.28 0.08 0.56  0.36    240.38      2.00
boskop            EMU.0080    80    80   250      4.69      0.15      1.36      0.17    531.23 0.08 0.57  0.33    240.38      2.00
boskop            EMU.0080    80    80   250      4.73      0.15      1.40      0.19    529.89 0.08 0.56  0.30    240.38      2.00
boskop            EMU.0080    80    80   250      4.70      0.15      1.36      0.19    529.81 0.08 0.57  0.36    240.38      2.00
boskop            EMU.0080    80    80   250      4.74      0.15      1.40      0.19    531.57 0.08 0.56  0.33    240.38      2.00
boskop            EMU.0080    80    80   250      4.74      0.15      1.40      0.16    534.66 0.08 0.56  0.30    240.38      2.00
